,word,etymology
937,irəʕ/irʕi yirəʕ/yirʕi,0
938,irəḏ/irḏi yirəḏ/yirḏi,0
939,irəṣ/irṣi yirəṣ/yirṣi,0
940,irḥem yirḥum,0
941,irḳaḏ yirḳuḏ,0
942,isbaḥ yisbuḥ,0
943,isbeʕ yisbaʕ,0
944,isfaḳ yisfuḳ,0
945,iskab yiskub,0
946,iskan yiskun,0
947,islač yislač,0
948,isleḳ yislaḳ,0
949,ismal yismal,0
950,ismat yismut,0
951,ismet,0
952,israḏ yisruḏ,0
953,isčfel yisčfel,0
954,isčfet yisčfet,0
955,isčilōḥa,0
956,isčiḳbōla,0
957,isčlaḥ yisčlaḥ,0
958,isčlaḳ yisčlaḳ,0
959,isčlem yisčlem,0
960,isžat yisžut,0
961,isḥar yisḥur,0
962,isḳaṭ yisḳaṭ,0
963,isḳel yisḳel,0
964,itbak yitbuk,0
965,itfan yitfun,0
966,itfaš yitfuš,0
967,itfaʕ yitfuʕ,0
968,itlaḳ yitlaḳ,0
969,itlaḳ yitluḳ,0
970,itras yitrus,0
971,itraž yitruž,0
972,itrež,0
973,itxal yitxul,0
974,itʕas yitʕus,0
975,itḥaš yitḥuš,0
976,iwəṭ,0
977,ixfen,0
978,ixfen yixfan,0
979,ixlaʕ yixluʕ,0
980,ixlaḳ yixluḳ,0
981,ixlaṭ yixluṭ,0
982,ixleḳ yixlaḳ,0
983,ixnaš yixnuš,0
984,ixneš,0
985,ixrus,0
986,ixteš,0
987,ixyer,0
988,ixčam yixčum,0
989,ixčar yixčar,0
990,ixčer yixčar,0
991,ixčlaf yixčlaf,0
992,ixčli yixčli,0
993,ixčur,0
994,ixšen,0
995,ixḥal yixḥul,0
996,ixṭab yixṭub,0
997,ixṯab yixṯub,0
998,iyyar,1
999,iza,2
1000,izban yizbun,0
1001,izmīla,1
1002,izruḳ,0
1003,izək,0
1004,izʕaḳ yizʕuḳ,0
1005,izʕut,0
1006,izḥal yizḥul,0
1007,ičbar yičbar,0
1008,ičbar yičbur,0
1009,ičbaʕ yičbuʕ,0
1010,ičber,0
1011,ičlaḥ yičluḥ,0
1012,ičneḥ yičneḥ,0
1013,iččfeḳ yiččfeḳ,0
1014,iččižōha,0
1015,iččxel yiččxel,1
1016,iččžaʕ yiččžaʕ,0
1017,iččṣel yiččṣel,0
1018,ičəčhat yičəčhat,0
1019,ičʕeb,0
1020,iġfar yiġfur,0
1021,iġlab yiġlub,0
1022,iġraf yiġruf,0
1023,iġras yiġrus,0
1024,iġraḥ yiġruḥ,0
1025,iġreḥ,0
1026,iġreḳ/iġraḳ yiġraḳ,0
1027,iġtar yiġtur,0
1028,iġčar yiġčar,0
1029,iġən,0
1030,iġʕer,0
1031,iġṭas yiġṭas,0
1032,išhaḳ yišhuḳ,0
1033,išher yišhur,0
1034,iškek,0
1035,išlaf yišluf,0
1036,išlaʕ yišluʕ,0
1037,išlaḥ yišluḥ,0
1038,išlaḳ yišluḳ,0
1039,išleḳ,0
1040,išmaṭ yišmuṭ,0
1041,išmeʕ yišmaʕ,0
1042,išnaḳ yišnuḳ,0
1043,išneḳ,0
1044,išram yišrum,0
1045,išraḥ yišruḥ,0
1046,išw/išwi yišw/yišwi,0
1047,išč/išči yišč,0
1048,iščaḥ yiščaḥ,0
1049,iščaḳ yiščaḳ,0
1050,iščhi yiščhi,0
1051,iščki yiščki,0
1052,iščlaḳ yiščlaḳ,0
1053,iščrak yiščrak,0
1054,iščwi yiščwi,0
1055,iščġel yiščġel,0
1056,išġel,0
1057,išōrča/ašōrča,0
1058,išḥaṭ yišḥuṭ,0
1059,išḥen yišḥan,0
1060,išḳal yišḳul,0
1061,išṭaf yišṭuf,0
1062,išṭaʕ yišṭaʕ,0
1063,ižbal yižbul,0
1064,ižbaḏ yižbuḏ,0
1065,ižber,0
1066,ižbāri,0
1067,ižfal yižful,0
1068,ižlat yižlut,0
1069,ižmaʕ yižmuʕ,0
1070,ižraf yižruf,0
1071,ižrat yižrut,0
1072,ižreʕ,0
1073,ižtal yižtul,0
1074,ižčimōʕa,0
1075,ižčmaʕ yižčmaʕ,0
1076,ižōra,2
1077,ižōzča,0
1078,ižʕar yižʕur,0
1079,ižḳer,0
1080,iʕbar yiʕbur,0
1081,iʕbaḳ yiʕbuḳ,2
1082,iʕber yiʕbar,1
1083,iʕdām,2
1084,iʕlak yiʕluk,0
1085,iʕlōna,0
1086,iʕrak yiʕruk,0
1087,iʕreb yiʕrab,0
1088,iʕwar yiʕwar,0
1089,iʕwur,0
1090,iʕzem,0
1091,iʕčaz yiʕčaz,0
1092,iʕčbar yiʕčbar,2
1093,iʕčem yiʕčam,2
1094,iʕčibōra,2
1095,iʕčžab yiʕčžab,0
1096,iʕōlča,0
1097,iʕžeḳ,0
1098,iʕəl,0
1099,iʕəčraf yiʕəčraf,0
1100,iʕəčḳat yiʕəčḳat,0
1101,iʕḳuf,0
1102,iʕṣar yiʕṣur,0
1103,iʕṭaš yiʕṭuš,0
1104,iḏa,2
1105,iḏhan yiḏhun,0
1106,iḏmex yiḏmux,0
1107,iḏəʕ yiḏəʕ,0
1108,iḓōfča,0
1109,iḓḥek yiḓḥuk,0
1110,iḥanne,0
1111,iḥbak yiḥbuk,0
1112,iḥbaṭ yiḥbuṭ,0
1113,iḥeḏ yīḥaḏ,0
1114,iḥfar yiḥfur,0
1115,iḥfaẓ yiḥfuẓ,0
1116,iḥlab yiḥlub,0
1117,iḥlaḳ yiḥluḳ,0
1118,iḥles,0
1119,iḥleḳ,0
1120,iḥmeʕ yiḥmaʕ,0
1121,iḥrab yiḥrub,0
1122,iḥreb,0
1123,iḥsel yiḥsal,0
1124,iḥzam yiḥzum,0
1125,iḥzaḳ yiḥzuḳ,0
1126,iḥčal yiḥčal,0
1127,iḥčar yiḥčar,0
1128,iḥčfal yiḥčfal,0
1129,iḥšab yiḥšub,0
1130,iḥžaz yiḥžuz,0
1131,iḥəl,0
1132,iḥəm/iḥmi yiḥəm/yiḥmi/yiḥ(i)/yīḥ,0
1133,iḥər/iḥri yiḥər/yiḥri,0
1134,iḥəčmi yiḥəčmi,0
1135,iḥəčni yiḥəčni,0
1136,iḥəčžam yiḥəčžam,0
1137,iḥəḏ/iḥḏi yiḥəḏ,0
1138,iḥḓan yiḥḓun,0
1139,iḥḥ(i) yiḥḥ(i),0
1140,iḥṣaḏ yiḥṣuḏ,0
1141,iḳbar yiḳbur,0
1142,iḳlab yiḳlab,0
1143,iḳlab yiḳlub,0
1144,iḳlaš yiḳluš,0
1145,iḳlaʕ yiḳluʕ,0
1146,iḳmaz yiḳmuz,0
1147,iḳmaṭ yiḳmuṭ,0
1148,iḳraf yiḳruf,0
1149,iḳraṭ yiḳruṭ,0
1150,iḳsam yiḳsum,0
1151,iḳtar yiḳtur,0
1152,iḳw,0
1153,iḳw/iḳwi,0
1154,iḳšaṭ yiḳšuṭ,0
1155,iḳər/iḳri yiḳər/yiḳri,0
1156,iḳḏaḥ yiḳḏaḥ,0
1157,iḳḏaḥ yiḳḏuḥ,0
1158,iḳḏum,0
1159,iḳḥaṣ yiḳḥuṣ,0
1160,iḳḳer,0
1161,iḳṭab yiḳṭub,0
1162,iḳṭaf yiḳṭuf,0
1163,iḳṭal yiḳṭul,0
1164,iḳṭaš yiḳṭuš,0
1165,iḳṭaʕ yiḳṭaʕ,0
1166,iḳṭaʕ yiḳṭuʕ,0
1167,iḳṭel,0
1168,iḳṭōʕay,0
1169,iṣfur,0
1170,iṣlab yiṣlub,0
1171,iṣmeč yiṣmuč,0
1172,iṣraḳ yiṣruḳ,0
1173,iṣxar yiṣxur,0
1174,iṣəh/iṣhi yiṣəh/yiṣhi,0
1175,iṣəl yiṣəl,0
1176,iṣʕeb,0
1177,iṣḥar yiṣḥur,0
1178,iṭbaʕ yiṭbuʕ,0
1179,iṭbaḳ yiṭbuḳ,0
1180,iṭfal yiṭful,0
1181,iṭfar yiṭfur,0
1182,iṭlab yiṭlub,0
1183,iṭmar yiṭmur,0
1184,iṭraš yiṭruš,0
1185,iṭraḳ yiṭruḳ,0
1186,iṭruš,0
1187,iṭəf yiṭəf,0
1188,iṭər,0
1189,iṭʕan yiṭʕun,0
1190,iṭḥan yiṭḥun,0
1191,iṭḥaš yiṭḥaš,0
1192,iṯər/iṯri,0
1193,iṯḳen yiṯḳan,0
1194,iẓbar yiẓbur,0
1195,iẓrab yiẓrub,0
1196,iẓraʕ yiẓruʕ,0
1197,iẓreʕ,0
1198,iẓəx yiẓəx,0
1199,iẓʕer yiẓʕar,0
1200,iẓʕur,0
1201,iẓḥaṭ yiẓḥuṭ,0
1202,ka,0
1203,kabōsča,0
1204,kabša,0
1205,kaff ykaff,0
1206,kaffa,0
1207,kaffen ykaffen,0
1208,kafna,0
1209,kalfa,0
1210,kalkeš ykalkeš,0
1211,kallef ykallef,0
1212,kallel ykallel,0
1213,kalsōn,0
1214,kalōma,0
1215,kalōnya,0
1216,kammel ykammel,0
1217,kaməšṯa,0
1218,kanabōyṯa,0
1219,kanōra,0
1220,kapkōba,0
1221,kappar ykappar,0
1222,kappes ykappes,0
1223,kappūta,0
1224,karam,0
1225,karaz,0
1226,karr/karri ykarr/ykarri,0
1227,karrem ykarrem,0
1228,karrer ykarrer,0
1229,karrez ykarrez,0
1230,karrōza,0
1231,karsaḥča,0
1232,karseḥ,0
1233,kart,0
1234,karōmča,0
1235,karəkṯa,0
1236,kasma/kesma,0
1237,kasra,0
1238,katēsa,0
1239,kawna,0
1240,kawwek ykawwek,0
1241,kawšūk,0
1242,kawəmṯa,0
1243,kayfa,0
1244,kayyef ykayyef,0
1245,kayyes,0
1246,kayəlṯa,0
1247,kaza/kiza,0
1248,kaččef ykaččef,0
1249,kaššef ykaššef,0
1250,kaɁinno,0
1251,kaṯṯar ykaṯṯar,0
1252,keləmṯa,0
1253,kenwṯa,0
1254,kenza,0
1255,keršṯa,0
1256,keṯərṯa,0
1257,kfōyṯa,0
1258,kilōnya,0
1259,kilōt,0
1260,kiṯər,0
1261,klēsya,0
1262,klīla,0
1263,kmōlča,0
1264,koppṯa,0
1265,korsa,0
1266,korse,0
1267,korəʕṯa,0
1268,krunbe,0
1269,krēk,0
1270,ktīša,0
1271,ktīšča,0
1272,kuppōyṯa,0
1273,kusōyṯa,0
1274,kuzlok,0
1275,kuḥkull,0
1276,kuḥlay/xuḥlay,0
1277,káhraba,0
1278,kámira,0
1279,kān,0
1280,kān/kōn/(i)nkōn,0
1281,kīki šamma,0
1282,kīlo,0
1283,kōfa,0
1284,kōmel,0
1285,kōpsa,0
1286,kōra,0
1287,kōrča,0
1288,kōsa,0
1289,kōsča,0
1290,kōza,0
1291,kūkṯa,0
1292,kūsa,0
1293,kūxa,0
1294,kūʕa,0
1295,l,0
1296,l(a)-ḥetta,0
1297,l-,0
1298,l-uḳbil,0
1299,l-uḳbōlča,0
1300,l-ḥamdillōh/l-ḥamdillāh/l-ḥamdulillāh,0
1301,l-ḥatt(i),0
1302,la,0
1303,la budd,0
1304,la ṣōb,0
1305,la/lā,0
1306,labaniyye,0
1307,lableb ylableb,0
1308,laffṯa,0
1309,lafəḥṯa,0
1310,lagan,0
1311,lah,0
1312,lahəžṯa,0
1313,lakin,0
1314,lakinni,0
1315,lakōn,0
1316,lakōni,0
1317,lamlem ylamlem,0
1318,lamma,0
1319,lampṯa,0
1320,lann,0
1321,lanna,0
1322,lapp ylapp,0
1323,lappes ylappes,0
1324,lappeḏ ylappeḏ,0
1325,law,0
1326,lawandyos/lawandiyyos,0
1327,lawinno,0
1328,lawna,0
1329,lawḥa,0
1330,laxṯa,1
1331,laymūnča,0
1332,lazzaḳ ylazzaḳ,0
1333,lazzeḳ ylazzeḳ,0
1334,laɁ,0
1335,laʕ,0
1336,laʕlēx/laʕlīš,0
1337,laʕʕōba,0
1338,laḥmes ylaḥmes,0
1339,laḥwes ylaḥwes,0
1340,laḥḥeḳ ylaḥḥeḳ,0
1341,laḥḥōma,0
1342,laḳša,0
1343,laḳḳaḥ ylaḳḳaḥ,0
1344,laḳḳeṭ ylaḳḳeṭ,0
1345,laṣleṣ ylaṣleṣ,0
1346,laṭṭeš ylaṭṭeš,0
1347,leppa,0
1348,lečra,0
1349,leʕl-,0
1350,leḥma,0
1351,leṭra,0
1352,lina,0
1353,lizzīṯa/lazzīṯa,0
1354,liššōna,0
1355,liɁanno,0
1356,lopsa,0
1357,lorkaʕ,0
1358,loġṯa,0
1359,loʕpṯa,0
1360,loḳəmṯa,0
1361,lubnān,0
1362,lubnōnay,0
1363,lukkil,0
1364,lzūma,0
1365,lēlya,0
1366,lī/li,0
1367,lō,0
1368,lōb,0
1369,lōla,0
1370,lōma,0
1371,lōmar,0
1372,lōzem,0
1373,lōzim/lōzem,0
1374,lḥōfa,0
1375,lṭarča,0
1376,m-/mn-,0
1377,m/mn,0
1378,ma,0
1379,mabətya,0
1380,mafhum,0
1381,mafruḓ,0
1382,mafərḳa,0
1383,mahbōža/mehbōža,0
1384,mahla,0
1385,mahma,0
1386,makkar,0
1387,makla,0
1388,makčūba,0
1389,makəčba,0
1390,malka,0
1391,malleḥ,0
1392,malleḥ ymalleḥ,0
1393,malleṯ,0
1394,malzamṯa,0
1395,maləkṯa,0
1396,maləḳṭa,0
1397,malʕaḳṯa,0
1398,malʕun,0
1399,mamlakṯa,0
1400,mamnunōyṯa,0
1401,mamnuʕ,0
1402,mannu,0
1403,manyūk,0
1404,manīṯa,0
1405,manōma,0
1406,manšarča,0
1407,manəxra,0
1408,manəḳla,0
1409,manḥa,0
1410,manḥay,0
1411,manḳarča,0
1412,manṭarča,0
1413,manṭaḳṯa,0
1414,manẓra,0
1415,manẓum,0
1416,mapxarča,0
1417,mapṣuṭ,0
1418,mar,0
1419,marfaḳṯa,0
1420,marfʕa,0
1421,markba,0
1422,marra,0
1423,marrer,0
1424,marreḳ ymarreḳ,0
1425,martadella,0
1426,marya,0
1427,marzuḳ,0
1428,marč,0
1429,maržalča,0
1430,maržlōṯa,0
1431,maržūʕa,0
1432,maržūḥča,0
1433,marəkza,0
1434,marəžṯa,0
1435,marəḳṯa,0
1436,marḥūma,0
1437,mass ymass,0
1438,masōfča,2
1439,masɁalča,0
1440,masɁul,0
1441,masəkṯa,0
1442,masərta,0
1443,masəḥṯa,0
1444,masʕat,0
1445,matmet ymatmet,0
1446,matrasṯa,0
1447,matte,0
1448,matōra,0
1449,matəfʕa,0
1450,matʕasṯa,0
1451,mawhub,0
1452,mawsma,0
1453,mawwah ymawwah,0
1454,mawwen ymawwen,0
1455,mawzṯa,0
1456,mawčṯa,0
1457,mawžut,0
1458,mawḓūʕa,0
1459,mawṣūla,0
1460,mawṯa,0
1461,maxramča,0
1462,maxrōmča,0
1463,maxxul,0
1464,maxōyel,0
1465,maxəbra,0
1466,mayla,0
1467,mayyel ymayyel,0
1468,mayyez ymayyez,0
1469,mazal,0
1470,mazraʕṯa,0
1471,mazāl,0
1472,mazōt,0
1473,mazḥa,0
1474,maġəfra,0
1475,mašhur,0
1476,mašmuʕō,0
1477,mašnaḳṯa,0
1478,mašrōba/mašrūba,0
1479,mašrūʕa,0
1480,maščūṯa,0
1481,maššōna,0
1482,maššōyṯa,0
1483,mašəʕla,0
1484,mažbanča,0
1485,mažmuʕyōṯa,0
1486,mažnun,0
1487,mažūs,0
1488,mažžet ymažžet,0
1489,maɁwō,0
1490,maʕ,0
1491,maʕ/maʕl-/miʕl-,0
1492,maʕkṯa,0
1493,maʕlūla,0
1494,maʕlūm,0
1495,maʕmuḏō,0
1496,maʕnōyṯa,0
1497,maʕrba,0
1498,maʕrbay,0
1499,maʕrefṯa/meʕrefṯa,0
1500,maʕruf,0
1501,maʕrūfa,0
1502,maʕžen ymaʕžen,0
1503,maʕžna,0
1504,maʕəlfa,0
1505,maʕəmla,0
1506,maʕḳul,2
1507,maʕṣarča,0
1508,maḏenča,2
1509,maḏəbḥa,0
1510,maḓyuf,0
1511,maḓḓ ymaḓḓ,0
1512,maḥbub,0
1513,maḥkamṯa,0
1514,maḥla,0
1515,maḥmaṣṯa,0
1516,maḥmīṯa,0
1517,maḥramṯa,0
1518,maḥzaḳḳa,0
1519,maḥōlča,0
1520,maḥəšra,0
1521,maḥḥ(i),0
1522,maḳbarča,0
1523,maḳerf,0
1524,maḳles ymaḳles,0
1525,maḳref,0
1526,maḳōma,0
1527,maḳəʕta,0
1528,maḳəḏḥa,0
1529,maṣfarča,0
1530,maṣlaḥṯa,0
1531,maṣrūfa,0
1532,maṣtra,0
1533,maṣxar ymaṣxar,0
1534,maṣyfa,0
1535,maṣāxer,0
1536,maṣōrča,0
1537,maṣəmra,0
1538,maṣər,0
1539,maṣṣīṣ,0
1540,maṣṣōṣča,0
1541,maṣṣṯa,0
1542,maṭmūrča,0
1543,maṭwṯa,0
1544,maṭəpxa,0
1545,maṭəʕma,0
1546,maṭṭeṭ,0
1547,maṯla,0
1548,maṯmen,0
1549,maẓbuṭ,0
1550,mbartxōna,0
1551,mekro,0
1552,melka,0
1553,melḥa,0
1554,mermar yharhar,0
1555,metra,0
1556,mett,0
1557,metti,0
1558,mettūṯa,0
1559,mečra,0
1560,mešḥa,0
1561,meʕnōyṯa/miʕnōyṯa,0
1562,meḥli,0
1563,meḥya/miḥya,0
1564,meḥənṯa,0
1565,meṯṯa,0
1566,mfakka,0
1567,mfalfal,0
1568,mhappar,0
1569,mil,0
1570,milli,0
1571,milōta,0
1572,milōxa,0
1573,min dūn,0
1574,mina,0
1575,minšōra,0
1576,minžat,0
1577,miskīna,0
1578,misti,0
1579,mistīḏa,0
1580,miččxōla,0
1581,mišmešṯa,0
1582,miḥya,0
1583,miṣfōyṯa/muṣfōyṯa,0
1584,miṣrōyṯa,0
1585,miṣrōʕa,0
1586,mkarsaḥ,0
1587,mlabbas,0
1588,mlabbasīṯa,0
1589,mlaffṯa,0
1590,mlawwan,0
1591,mlaʕʕab,0
1592,mluṯṯ-,0
1593,mlōḥa,0
1594,mlūkay,0
1595,mnasapča,0
1596,mofčḥa/mofəčḥa,0
1597,mohra,0
1598,molka,0
1599,motta,0
1600,moḳətma,0
1601,mpala,0
1602,mrawwab,0
1603,mraččab,0
1604,mrōyṯa,0
1605,mrūṯa,0
1606,msabaḳča,0
1607,msaddasča,0
1608,msakkar,0
1609,msažžalča,0
1610,msō,0
1611,mtallal,0
1612,mtappas,0
1613,mtapprōna,0
1614,mtawtfa,0
1615,mtawwar,0
1616,mtaʕpla,0
1617,mtaḳḳa,0
1618,mtīḥča,0
1619,mtō,0
1620,mubāšáratan,0
1621,muhimm,0
1622,muhimmay,0
1623,munšōra,0
1624,muržān,0
1625,mustašfa,0
1626,mutōr,0
1627,muwġīṯa,0
1628,muxayyam,0
1629,muxramča,0
1630,muxrōmča,0
1631,mučrasō,0
1632,mučwōlay,0
1633,muġərfīṯa,0
1634,muškelṯa/miškelṯa,0
1635,mušmešṯa,0
1636,mušwōra/mišwōra,0
1637,muščwīnya/miščwīnya,0
1638,mušḳīṯa,0
1639,mušṭʕīnya/mišṭʕīnya(?),0
1640,mužbalīṯa,0
1641,mužlīṯa,0
1642,mužrawōyṯa,0
1643,mužrem/mežrem,0
1644,muʕmḏīṯa,0
1645,muʕžazīṯa,0
1646,muḥamaynūṯa,0
1647,muḥāmi,0
1648,muḥḥōča,0
1649,muḳtōra,0
1650,muṭrōna,0
1651,muṯallaṯ,0
1652,muẓẓuṭ,0
1653,mwaṣalyōṯa,0
1654,mxaddedīṯa,0
1655,mxaramča,0
1656,mzaffač,0
1657,mzaxraf,0
1658,mákana,0
1659,márḥaba,0
1660,másalan,0
1661,máṯalan,0
1662,mā,0
1663,māri,0
1664,māza/māẓa,0
1665,mčažarča,0
1666,mēkro,0
1667,mēseḳ,0
1668,mēzya,1
1669,mēḥeč,0
1670,mēṯya,1
1671,mō,0
1672,mōla,0
1673,mōn,0
1674,mōra,0
1675,mōrta,0
1676,mōrča,0
1677,mōya,0
1678,mōyṯṯa,0
1679,mōz,0
1680,mōṣeṭ,0
1681,mšawarča,0
1682,mšīḥa,0
1683,mšōḥa,0
1684,mūsa,0
1685,mūše,0
1686,mžarra,0
1687,mžáddara,0
1688,mžōla,0
1689,mʔ,0
1690,mʕallay,0
1691,mʕallmanīṯa,0
1692,mʕallmōna,0
1693,mʕalmōna,0
1694,mʕamalča,0
1695,mʕarrṯa,0
1696,mʕawfarča,0
1697,mʕawwta,0
1698,mʕayyan,0
1699,mʕaḓḓamiyye,0
1700,mḏīnča,0
1701,mḓayafča,0
1702,mḓō,0
1703,mḥalla,0
1704,mḥammad,0
1705,mḥaṭṭa,0
1706,mḳabalč-,0
1707,mḳawwmōna,0
1708,mṣafṣaf,0
1709,mṣallaynīṯa,0
1710,mṣappa,0
1711,mṣaraʕča,0
1712,mṣaraʕžay,0
1713,mṣarḳa,0
1714,mṣīpča,0
1715,mṯallaṯ,0
1716,mṯann,0
1717,mẓaharča,0
1718,mẓanṭarča,0
1719,naffaḏ ynaffaḏ,0
1720,naffes ynaffes,0
1721,naffeḏ ynaffeḏ,0
1722,naffeḳ ynaffeḳ,0
1723,naffeṣ ynaffeṣ,0
1724,nafōra,0
1725,nahra,0
1726,nakkeb,0
1727,nakkeb ynakkeb,0
1728,nakket ynakket,0
1729,nakkeš ynakkeš,0
1730,nakrez ynakrez,0
1731,nakweš ynakweš,0
1732,napka,0
1733,napkōnay,0
1734,nappah ynappah,0
1735,nappeš ynappeš,0
1736,napṭa,0
1737,narbīš/narbīša,0
1738,natma,0
1739,natīma,0
1740,nawella,0
1741,nawlōn,0
1742,nawwar ynawwar,0
1743,nawwaḥ ynawwaḥ,0
1744,nawʕa,0
1745,naxla,0
1746,naxle,0
1747,nayya,0
1748,naččež ynaččež,0
1749,naġəpṯa,0
1750,naġəzṯa,0
1751,naššef,0
1752,nažīb,0
1753,nažž(i) ynažž(i),0
1754,nažžar ynažžar,0
1755,nažžet ynažžet,0
1756,nažžōra,0
1757,naʕweṣ ynaʕweṣ,0
1758,naʕša,0
1759,naʕʕem,0
1760,naʕʕem ynaʕʕem,0
1761,naḓra,0
1762,naḓḓef,0
1763,naḓḓef ynaḓḓef,0
1764,naḥsa,0
1765,naḥḥīṯa,0
1766,naḳrašča,0
1767,naḳōsa,0
1768,naḳəlṯa,0
1769,naḳḳ ynaḳḳ,0
1770,naḳḳel ynaḳḳel,0
1771,naḳḳeṭ ynaḳḳeṭ,0
1772,naṣra,0
1773,naṣriyye,0
1774,naṣūḥ,0
1775,naṭōra,0
1776,naẓərṯa,0
1777,naẓẓem ynaẓẓem,0
1778,nebʕa,0
1779,nefša,0
1780,nepṭa,0
1781,nesra/neṣra,0
1782,nesəpṯa,0
1783,neʕmṯa,0
1784,neḳra,0
1785,nihōyṯa/nhōyṯa,0
1786,nišōna,0
1787,nišṭūṯa,0
1788,niṣpō,0
1789,nofəšṯa,0
1790,nohra,0
1791,nokətṯa/nokəṯṯa,0
1792,nočfa,0
1793,noḳla,0
1794,noḳəṭṯa/noḳəṯṯa,0
1795,nuhhur,0
1796,nuḓḓōfa,0
1797,nuḳḳō,0
1798,nuḳḳōṭa,0
1799,náwaray,0
1800,nāylo,0
1801,nčīžča,0
1802,nība,0
1803,nīra,0
1804,nīrča,0
1805,nīsan,0
1806,nīṣa,0
1807,nīṯa,0
1808,nōseb ynōseb,0
1809,nōska,0
1810,nōt ynōt,0
1811,nōwel ynōwel,0
1812,nōṣaḥ,0
1813,nšīfa,0
1814,nšītča,0
1815,nšōra,0
1816,nšōrča,0
1817,nšōḳa,0
1818,nūra,0
1819,nžōsča,0
1820,nʕīma,0
1821,nḥōša,0
1822,nḳōla,0
1823,nḳūṭa,0
1824,nṣība,0
1825,ommṯa,1
1826,orba,0
1827,oroppa,0
1828,orḥa,1
1829,otombīl,0
1830,oḳra,0
1831,palpeš ypalpeš,0
1832,payṯa,0
1833,ppōfča,0
1834,psōna,0
1835,pulpel,0
1836,rabb/rabbi,0
1837,rabūb,0
1838,rabʕa,0
1839,rahna,0
1840,rahṭa,0
1841,rakkeb yrakkeb,0
1842,rakkōba,0
1843,ramla,0
1844,ramza,0
1845,ramzay,0
1846,rapp yrapp,0
1847,rappaʕ yrappaʕ,0
1848,rasmay,0
1849,rasna,0
1850,rasōyel,0
1851,rattel yrattel,0
1852,rattṯa,0
1853,rawwaḥ yrawwaḥ,0
1854,rawweb yrawweb,0
1855,rax,0
1856,raxša,0
1857,rayya,0
1858,rayyes,0
1859,rayysṯa,0
1860,rayša,0
1861,rayḥōna,0
1862,raččeb yraččeb,0
1863,ražžaʕ yražžaʕ,0
1864,ražəʕṯa,0
1865,raɁya,0
1866,raɁīsa,0
1867,raɁīsča,0
1868,raḥme,0
1869,raḥəlṯa,0
1870,raḥəmṯa,0
1871,raḳḳaʕ yraḳḳaʕ,0
